"site_no","dateTime","Flow_Inst","Flow_Inst_cd","Wtemp_Inst","pH_Inst","DO_Inst"
"02337170",2011-05-30 00:00:00,1450,"X",24,6.9,7.5
"02336410",2011-05-24 04:30:00,15,"X",23.1,7.2,6.8
"02336313",2011-05-02 08:45:00,1,"A",19.1,7,6.1
"02336728",2011-05-25 14:15:00,8.2,"A e",21.2,NA,8
"02336728",2011-05-21 06:00:00,9.7,"A",18.9,7.1,8
"02336526",2011-05-09 00:30:00,4.6,"E",22.1,7.8,9
"02336240",2011-05-29 05:45:00,15,"A",21.6,NA,7.1
"02336526",2011-05-09 20:45:00,4.4,"A",24,8,11
"02336360",2011-05-08 17:45:00,13,"A",19,7.3,9
"02336240",2011-05-05 01:00:00,22,"A",16.9,7,8.2
"02336360",2011-05-12 08:45:00,11,"E",22,7,6.9
"02336360",2011-05-29 22:00:00,7.5,"X",25.7,7,7.3
"02336410",2011-05-26 10:45:00,11,"A",22.7,7.2,6.8
"02336360",2011-05-05 16:00:00,17,"X",15.4,7.1,8.8
"02336240",2011-05-14 03:15:00,11,"E",22,7.2,6.9
"02336300",2011-05-10 21:00:00,30,"A",25.4,7.3,8.8
"02336728",2011-05-24 07:15:00,8.9,"X",21.4,7.1,7.3
"02336300",2011-05-08 03:00:00,33,"A",18.7,7.3,7.8
"02336728",2011-05-24 06:15:00,8.9,"A e",21.7,7.1,7.3
"02336360",2011-05-08 23:15:00,13,"E",20,7.2,8.5
"02336313",2011-05-24 13:00:00,0.93,"A",20.8,7.1,6.8
"02336120",2011-05-24 13:45:00,11,"A",21.7,7.1,7.2
"02203700",2011-05-07 04:30:00,5.3,"A e",17.3,7,5.8
"02336526",2011-05-30 20:15:00,4.8,"E",26.7,7.6,9.4
"02336526",2011-05-11 03:00:00,4,"E",24.4,7.6,6.6
"02336313",2011-05-07 00:45:00,1.1,"A e",18.6,7.2,7.8
"02336526",2011-05-09 01:15:00,4.4,"A",21.9,7.6,8.4
"02336728",2011-05-01 17:00:00,16,"E",NA,7.1,8.7
"02336526",2011-05-13 12:30:00,3.6,"X",NA,7.2,6.8
"02336313",2011-05-24 16:00:00,0.98,"A",23.4,7.2,8.6
"02336728",2011-05-31 11:15:00,13,"A e",22.7,7,7.4
"02336300",2011-05-09 12:45:00,33,"A",18.7,7.3,7.6
"02336240",2011-05-30 22:45:00,11,"X",25.6,7,7.2
"02336120",2011-05-17 08:15:00,13,"A",15.9,7.2,8.3
"02203700",2011-05-22 09:15:00,3.9,"A e",20,6.8,4.5
"02203655",2011-05-05 20:30:00,14,"A",16.8,7.1,8.3
"02336240",2011-05-21 20:00:00,9.2,"E",24,7.4,9.8
"02203655",2011-05-07 06:30:00,12,"A e",17.1,7.2,7.5
"02336300",2011-05-10 23:15:00,31,"X",24.8,7.3,8.1
"02336120",2011-05-05 05:30:00,30,"A",16.5,6.8,8.3
"02203700",2011-05-17 06:15:00,4.6,"A e",16,6.9,5.5
"02336360",2011-05-13 22:45:00,11,"A",23.4,7.3,8.5
"02336360",2011-05-08 18:45:00,13,"A e",19.6,7.3,NA
"02336120",2011-05-06 19:15:00,19,"E",17.9,7.2,9.1
"02336120",2011-05-20 06:30:00,12,"A e",17.8,7.2,8.2
"02337170",2011-05-08 13:15:00,1540,"A",15.4,6.9,9.1
"02336526",2011-05-24 21:00:00,3,"E",25.3,8.9,12.4
"02336240",2011-05-21 02:00:00,9.2,"A",20.4,7.2,7.4
"02337170",2011-05-20 17:15:00,2480,"E",15.7,6.9,NA
"02203655",2011-05-19 22:45:00,8.8,"X",17.9,7.1,8.7
"02336526",2011-05-20 02:30:00,3.6,"X",19.7,8.8,9.8
"02336120",2011-05-03 23:30:00,39,"A",20.9,7,7.8
"02336526",2011-05-02 08:45:00,4,"X",19.8,7,6.8
"02203655",2011-05-05 12:00:00,15,"A e",14.4,7.1,8.2
"02336300",2011-05-15 21:30:00,27,"A",19.1,7.6,8.7
"02337170",2011-05-26 05:45:00,1760,"A",20.2,7,8.6
"02336410",2011-05-03 17:45:00,20,"A",22,6.8,8.2
"02203700",2011-05-19 16:00:00,4,"A",16.8,7,8.4
"02336526",2011-05-24 11:00:00,3.1,"E",21.4,7.5,6.2
"02336120",2011-05-19 05:00:00,13,"A",16.2,7.3,8.5
"02203655",2011-05-04 05:15:00,208,"E",18,7,8
"02336240",2011-05-28 00:30:00,44,"A",21.9,6.9,7.5
"02337170",2011-05-18 08:00:00,3360,"A",13.5,7,10.1
"02203700",2011-05-13 01:30:00,4.4,"A",24.4,6.9,4.6
"02336313",2011-05-06 14:30:00,1.2,"A e",15.2,7.1,9.4
"02336120",2011-05-20 06:45:00,12,"E",17.7,7.2,8.2
"02336728",2011-05-31 10:00:00,13,"A",22.8,7,7.3
"02336120",2011-05-02 11:30:00,16,"A",19.1,7,7.7
"02336526",2011-05-23 15:15:00,3.6,"X",21.5,7.7,8.5
"02336120",2011-05-22 15:45:00,11,"A",21.1,7.2,7.8
"02336240",2011-05-22 11:15:00,8.9,"E",19.6,7.2,7.3
"02336120",2011-05-21 02:30:00,12,"A",20.9,7,7.6
"02336360",2011-05-22 22:00:00,9.8,"X",25.2,7.5,8.6
"02336240",2011-05-03 02:30:00,13,"X",20.7,7.2,7.3
"02336240",2011-05-07 14:45:00,13,"E",15.8,7.3,8.9
"02336240",2011-05-23 06:00:00,8.5,"A",21.8,7.1,6.7
"02336240",2011-05-02 02:15:00,13,"E",20.1,7.1,7.4
"02336300",2011-05-22 08:15:00,23,"E",21.4,7.3,6.8
"02336410",2011-05-11 11:45:00,18,"E",21.5,7,7.2
"02336728",2011-05-27 00:00:00,25,"E",23.7,6.9,7.3
"02203655",2011-05-19 06:30:00,8.8,"A",16,7,8.1
"02203655",2011-05-07 20:45:00,11,"E",18.1,7.2,7.6
