"site_no","dateTime","Flow","Flow_cd","Wtemp","pH","DO","Wtemp_F"
"02336526","2011-05-24 22:45:00",3.3,"A e",25.4,NA,11.9,77.72
"02336360","2011-05-31 06:45:00",6.3,"A",24.3,NA,6.5,75.74
"02203655","2011-05-23 09:30:00",7.2,"A",21.5,6.9,5.9,70.7
"02336240","2011-05-27 15:00:00",312,"A e",19.9,6.7,8.3,67.82
"02336300","2011-05-16 18:30:00",27,"A",17.6,7.6,9,63.68
"02336120","2011-05-04 09:45:00",191,"A",17,6.4,8.1,62.6
"02203700","2011-05-12 12:45:00",4.6,"A",20.3,6.9,5.2,68.54
"02336728","2011-05-15 19:30:00",11,"A e",19.5,NA,8.9,67.1
"02336526","2011-05-21 14:15:00",3.6,"A",19,7.6,8.2,66.2
"02336410","2011-05-23 16:00:00",13,"A",22.3,7.3,8.1,72.14
"02336300","2011-05-09 10:15:00",31,"A",18.9,7.3,7.4,66.02
"02336360","2011-05-16 18:00:00",10,"A e",17.8,7.3,9.8,64.04
"02337170","2011-05-06 19:30:00",7840,"A",12.2,6.8,10.6,53.96
"02336526","2011-05-20 10:15:00",3.5,"A e",17.4,7.6,7.4,63.32
"02336300","2011-05-24 17:30:00",21,"A",24.6,7.5,8.5,76.28
"02336728","2011-05-29 17:00:00",20,"A",23.3,7,7.8,73.94
"02336240","2011-05-29 23:45:00",13,"A",24.6,7,6.9,76.28
"02337170","2011-05-12 16:00:00",5910,"A",15.4,6.8,NA,59.72
"02336526","2011-05-15 23:45:00",3.8,"A",18.6,8,10.3,65.48
"02336240","2011-05-13 01:45:00",10,"A",23.4,7.1,6.8,74.12
"02336313","2011-05-12 00:30:00",0.93,"A e",24.6,7.2,6.5,76.28
"02337170","2011-05-27 04:15:00",1780,"A",20.7,7,8.4,69.26
"02336300","2011-05-12 23:15:00",27,"A",25.8,7.5,7.9,78.44
"02336728","2011-05-03 18:15:00",16,"A e",22.9,7.2,8.5,73.22
"02336120","2011-05-12 16:15:00",14,"A",22.3,7.2,8.1,72.14
"02336728","2011-05-31 00:45:00",14,"A",25.3,7,7.2,77.54
"02336300","2011-05-24 10:00:00",21,"A",22.2,7.3,6.5,71.96
"02336240","2011-05-13 08:45:00",9.9,"A e",21.2,7.1,7,70.16
"02336300","2011-05-01 23:30:00",32,"A e",21.9,7.3,7.8,71.42
"02336410","2011-05-21 01:15:00",14,"A",20.7,7.3,8.2,69.26
"02336313","2011-05-01 14:30:00",1.1,"A",18.3,7.1,7.9,64.94
"02336120","2011-05-03 21:30:00",17,"A",21.9,7.1,8.1,71.42
"02336120","2011-05-16 08:00:00",13,"A e",17.2,7.2,8.1,62.96
"02336120","2011-05-24 10:00:00",10,"A",21.8,7.1,6.9,71.24
"02336360","2011-05-27 20:00:00",27,"A e",23.4,6.8,7.3,74.12
"02336313","2011-05-09 07:30:00",1,"A",18.8,7.2,6.9,65.84
"02336240","2011-05-15 03:45:00",9.9,"A",20.4,7.2,7.1,68.72
"02336120","2011-05-25 15:00:00",11,"A e",22,7.1,7.4,71.6
"02203700","2011-05-02 01:00:00",6.1,"A",21.9,7.1,7.6,71.42
"02336410","2011-05-16 17:45:00",16,"A e",17.2,7.3,9.1,62.96
"02336120","2011-05-15 07:45:00",13,"A",19.7,7.2,7.4,67.46
"02336120","2011-05-12 06:00:00",14,"A",22.5,7.1,7.1,72.5
"02203700","2011-05-27 00:45:00",113,"A",NA,6.6,7,NA
"02203655","2011-05-26 19:00:00",7.5,"A",23.4,7,6.3,74.12
"02336526","2011-05-15 03:15:00",3.6,"A e",22.1,7.9,7.3,71.78
"02203655","2011-05-31 19:00:00",9.6,"A",24,7.2,7,75.2
"02336120","2011-05-05 18:45:00",23,"A",17,7,9,62.6
"02336300","2011-05-07 16:30:00",36,"A e",NA,7.3,NA,NA
"02337170","2011-05-14 09:00:00",3920,"A",15,6.9,9.8,59
"02336120","2011-05-05 14:45:00",24,"A",14.8,7,8.9,58.64
"02336240","2011-05-08 17:00:00",12,"A",19.2,7.3,9,66.56
"02203700","2011-05-15 14:00:00",4.4,"A",18.2,7,7.1,64.76
"02336360","2011-05-31 08:30:00",6,"A",23.9,6.9,6.4,75.02
"02337170","2011-05-04 17:15:00",6130,"A",16.2,6.7,8.5,61.16
"02336240","2011-05-19 04:00:00",9.9,"A",15.7,7.3,8.3,60.26
"02337170","2011-05-02 19:15:00",4390,"A",16.8,6.8,9.4,62.24
"02336313","2011-05-19 05:45:00",1,"A e",15.6,7.2,7.4,60.08
"02336313","2011-05-09 20:00:00",1,"A",23.7,7.3,8.5,74.66
"02336300","2011-05-14 21:15:00",27,"A",24,7.6,8.5,75.2
"02336360","2011-05-21 14:15:00",9.8,"A",19,7.1,8.1,66.2
"02336410","2011-05-22 00:30:00",14,"A",22.5,7.3,7.9,72.5
"02336240","2011-05-21 21:45:00",9.2,"A",23.3,7.3,NA,73.94
"02336526","2011-05-21 06:45:00",3.6,"A",20.7,7.8,6.9,69.26
"02336313","2011-05-14 06:15:00",0.98,"A e",21.5,7.2,6.4,70.7
"02336313","2011-05-19 18:45:00",1,"A e",19.8,7.3,9.3,67.64
"02336728","2011-05-03 05:15:00",15,"A",20,7,7.7,68
"02336300","2011-05-01 15:45:00",33,"A",19.4,7.3,7.9,66.92
"02336526","2011-05-11 17:45:00",4,"A e",23.4,7.5,10.2,74.12
"02336240","2011-05-17 10:45:00",11,"A",15,7.3,8.4,59
"02336410","2011-05-16 14:45:00",16,"A",16.9,7.2,8.9,62.42
"02203655","2011-05-06 20:15:00",12,"A",17.1,7.2,8.1,62.78
"02336360","2011-05-03 04:15:00",13,"A",21.1,7.1,7.3,69.98
"02336360","2011-05-24 21:15:00",9.1,"A",25.8,7.5,8.7,78.44
"02336300","2011-05-24 22:15:00",21,"A",26.6,7.5,8.4,79.88
"02336313","2011-05-14 17:15:00",1.1,"A",21.8,7.3,8.7,71.24
"02336240","2011-05-23 17:15:00",8.5,"A",23.5,7.3,9.4,74.3
"02336120","2011-05-27 11:15:00",1060,"A",20.9,6.3,7,69.62
"02336313","2011-05-10 10:00:00",1,"A",19.6,7.2,6.7,67.28
"02336313","2011-05-14 12:00:00",1,"A e",20.2,7.2,6.8,68.36
"02336410","2011-05-13 08:15:00",17,"A",22.2,7.1,7.1,71.96
"02336313","2011-05-02 04:45:00",0.98,"A",20.4,7,5.5,68.72
"02336313","2011-05-08 21:00:00",1,"A",21.8,NA,8.6,71.24
"02336313","2011-06-01 03:45:00",0.65,"A",25.3,7.2,4.6,77.54
"02336410","2011-05-17 07:00:00",16,"A",16.4,7.2,8.5,61.52
"02336526","2011-05-22 19:15:00",3.5,"A",24.3,8.7,11.9,75.74
